"จังหวัด","จำนวนประชากรในเขตรับผิดชอบ","จำนวนประชากรสิทธิหลักประกันสุขภาพถ้วนหน้า","จำนวนประชากรสิทธิประกันสังคม","จำนวนประชากรสิทธิข้าราชการ","จำนวนอสม.","จำนวนหลังคาเรือน","จำนวนหมู่บ้าน","จำนวนโรงเรียน","จำนวนนักเรียน","จำนวนศูนย์เด็กเล็ก","จำนวนประชากรอายุ 60 ปี ขึ้นไป","จำนวนประชากรอายุ 0 ถึง 5 ปี","จำนวนอาสาสมัครประจำครอบครัว(อสค.)","จำนวนผู้ช่วยเหลือดูแลผู้สูงอายุที่มีภาวะพึ่งพิง(Caregiver)","จำนวนผู้พิการ","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(คน)","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(ครั้ง)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(คน)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(ครั้ง)"
"เชียงราย","968,608","742,240","81,270","71,955","21,724","387,203","1,883","765","0","247","219,042","58,739","0","3","19,052","1,369,296","4,205,783","742,020","1,955,572"
"แม่ฮ่องสอน","199,705","165,206","9,679","15,037","3,714","67,296","439","331","0","88","31,558","15,483","0","3","4,876","287,831","877,174","168,461","398,209"
"นครสวรรค์","714,232","569,345","62,043","46,035","15,926","326,929","1,708","566","0","115","171,997","38,042","0","10","13,143","953,221","3,232,924","507,148","1,502,042"
"อุทัยธานี","263,891","216,368","23,147","17,514","4,824","105,991","657","241","0","80","60,317","14,778","0","0","4,896","403,641","1,516,096","219,376","756,265"
"กำแพงเพชร","531,067","459,597","29,680","27,190","9,728","208,623","972","417","0","87","109,020","28,958","0","0","14,755","701,530","2,421,910","420,203","1,252,751"
"ตาก","443,607","370,823","25,137","27,383","9,132","159,095","685","484","0","128","67,998","37,419","0","1","9,403","644,395","2,113,337","322,524","849,030"
"สุโขทัย","435,681","369,377","28,807","32,319","11,517","186,805","893","360","0","111","106,790","24,501","0","10","13,712","585,397","1,964,639","290,632","855,880"
"พิษณุโลก","623,567","498,601","43,240","76,737","4,471","269,719","1,115","499","0","165","142,400","31,648","0","1","9,003","681,591","2,197,258","339,179","918,353"
"พิจิตร","369,406","269,781","60,122","24,435","12,373","284,360","955","344","0","36","94,655","19,684","0","37","10,486","533,079","2,059,506","320,772","1,003,677"
"เพชรบูรณ์","686,626","566,598","60,466","44,655","19,267","302,921","1,476","582","0","96","150,106","43,218","0","3","12,286","904,778","2,644,364","458,530","1,170,620"
"ราชบุรี","689,405","517,908","94,673","65,864","11,539","239,233","1,118","435","0","89","144,152","36,993","0","0","14,065","809,013","2,312,883","341,232","896,871"
"กาญจนบุรี","630,190","503,944","53,384","46,648","11,227","242,692","1,047","472","0","169","116,473","38,542","0","1","8,143","952,596","3,061,398","554,336","1,457,315"
"สุพรรณบุรี","645,705","539,737","49,197","46,656","14,665","257,679","1,064","473","0","179","149,464","33,040","0","12","11,083","832,221","2,746,380","517,320","1,467,939"
"นครปฐม","778,977","545,485","114,032","68,044","2,162","251,089","1,059","316","0","85","146,017","35,514","0","3","8,387","903,226","2,825,350","423,352","1,270,731"
"สมุทรสาคร","409,872","314,150","47,650","19,708","2,644","145,682","310","136","0","29","76,452","17,025","0","0","4,090","646,298","1,931,108","334,972","898,024"
"สมุทรสงคราม","161,525","119,971","21,012","13,564","2,154","55,333","317","123","0","28","37,889","6,551","0","0","3,203","175,792","597,509","76,226","226,698"
"เพชรบุรี","415,303","309,403","46,873","44,732","7,278","129,865","748","297","0","77","84,323","20,786","0","77","5,028","553,237","1,800,690","298,249","852,532"
"ประจวบคีรีขันธ์","402,806","319,751","39,952","30,284","6,315","143,365","488","272","0","59","74,372","22,168","0","0","6,861","480,750","1,408,666","188,792","515,417"
"นครศรีธรรมราช","1,171,033","964,175","70,697","91,751","23,594","393,389","1,504","741","0","201","226,487","81,731","0","1","16,438","1,467,196","4,342,065","697,829","1,864,064"
"กระบี่","397,172","339,305","31,202","21,007","7,961","137,977","423","284","0","89","51,728","30,620","0","0","3,484","504,257","1,337,385","151,536","354,458"
"พังงา","223,397","183,738","18,725","16,098","4,481","81,025","375","156","0","40","40,057","13,805","0","1","3,753","276,424","802,483","93,128","247,840"
"ภูเก็ต","264,804","161,840","38,849","12,875","1,929","133,629","170","87","0","33","33,609","13,326","0","0","713","359,088","953,299","178,420","451,221"
"สุราษฎร์ธานี","854,803","693,997","71,639","60,732","18,108","364,416","1,344","575","0","148","137,660","55,153","0","2","8,299","1,163,580","3,538,385","493,280","1,286,502"
"ระนอง","128,414","104,909","9,694","10,971","2,863","60,823","498","76","0","19","22,385","8,045","0","0","1,051","159,017","478,348","72,097","182,158"
"ชุมพร","428,589","352,169","31,940","34,780","10,710","168,440","830","300","0","109","79,092","24,474","0","25","4,730","556,868","1,530,269","228,713","579,979"
"สงขลา","1,137,772","851,951","118,678","104,145","17,653","353,459","1,381","499","0","220","193,529","73,291","0","0","21,818","1,103,641","3,151,141","323,046","706,958"
"สตูล","264,989","228,663","13,567","20,125","4,818","82,176","306","218","0","53","36,274","23,204","0","0","3,567","236,627","696,319","113,249","277,480"
"ตรัง","505,176","426,871","35,883","38,382","9,015","186,567","794","333","0","50","90,364","32,966","0","0","6,579","506,490","1,442,499","250,598","585,660"
"พัทลุง","395,812","313,722","24,496","53,216","10,276","155,303","726","349","0","125","84,838","26,904","0","0","9,204","439,195","1,485,755","193,818","482,471"
"ปัตตานี","621,897","553,286","21,411","34,163","5,422","143,134","745","487","0","110","78,884","55,507","0","0","7,189","545,529","1,418,754","233,513","479,840"
"ยะลา","453,089","394,006","17,993","31,036","4,806","131,378","460","316","0","87","54,314","41,059","0","0","4,992","412,600","1,099,529","142,609","295,147"
"นราธิวาส","643,350","567,608","29,586","37,728","6,101","175,588","739","469","0","129","74,449","56,793","0","11","7,607","742,730","2,274,800","352,889","836,212"
